title_kr,title_en,artist,year_of_creation,image
삼나무와 초록 밀밭,Cypresses and Green Wheat Field,Vincent van Gogh,1889,1.jpg
모델과 화가,The Painter and His Model,Pablo Picasso,1928,2.jpg
작은 거리,The Little Street,Johannes Vermeer,1657–1658,3.jpg
빈도 알토비티의 초상,Portrait of Bindo Altoviti,Raphael,1515,4.jpg
나르시스의 변형,The Metamorphosis of Narcissus,Salvador Dalí,1937,5.jpg
베노아의 성모,The Benois Madonna,Leonardo da Vinci,1478–1480,6.jpg
과일 바구니를 든 소년,Boy with a Basket of Fruit,Caravaggio,1593–1594,7.jpg
들쥐,Young Hare,Albrecht Dürer,1502,8.jpg
톨레도 풍경,View of Toledo,El Greco,1596–1600,9.jpg
